종목명,현재가,대비,대비(%),거래량,L(일봉)H,종목코드,거래량 (G),거래대금(만원) (H),매출액 영업이익률(%) (L),결산기준 (L),매출액 순이익률(%) (M),결산기준 (M),매출액(백만원) (A1),결산기준 (A1),매출액(백만원) (B1),결산기준 (B1),매출액(백만원) (C1),결산기준 (C1)
티라유텍,"16,000",-650,-3.9,"39,091",-3.9,A322180,"39,091","62,221",7.78,Dec-19,9.17,Dec-19,"28,539",Dec-19,"22,771",Dec-18,"21,971",Dec-17
메탈라이프,"28,450",350,1.25,"44,945",1.25,A327260,"44,945","126,503",6.97,Dec-19,7.39,Dec-19,"16,211",Dec-19,"19,270",Dec-18,"11,427",Dec-17
크리스탈신소재,"1,750",-20,-1.13,"769,001",-1.13,A900250,"769,001","134,302",33.72,Dec-19,26.67,Dec-19,"84,592",Dec-19,"76,036",Dec-18,"71,468",Dec-17
헝셩그룹,629,3,0.48,"487,190",0.48,A900270,"487,190","30,471",19.85,Dec-19,14.72,Dec-19,"221,245",Dec-19,"200,444",Dec-18,"200,754",Dec-17
골든센츄리,459,-17,-3.57,"20,513,795",-3.57,A900280,"20,513,795","954,334",26.02,Dec-19,19.19,Dec-19,"113,144",Dec-19,"88,301",Dec-18,"106,115",Dec-17
오가닉티코스메틱,706,-7,-0.98,"1,214,571",-0.98,A900300,"1,214,571","85,337",15.32,Dec-19,10.61,Dec-19,"299,604",Dec-19,"240,003",Dec-18,"197,713",Dec-17
컬러레이,"2,130",-25,-1.16,"339,094",-1.16,A900310,"339,094","71,953",54.32,Dec-19,47.58,Dec-19,"50,860",Dec-19,"48,244",Dec-18,"47,726",Dec-17
윙입푸드,"1,340",5,0.37,"98,778",0.37,A900340,"98,778","13,128",17,Dec-19,9.16,Dec-19,"111,593",Dec-19,"96,175",Dec-18,"83,974",Dec-17
SBI핀테크솔루션즈,"8,340",-180,-2.11,"126,711",-2.11,A950110,"126,711","105,533",15.75,Mar-20,9.78,Mar-20,"94,660",Mar-20,"78,810",Mar-19,"65,801",Mar-18
SNK,"28,150","1,150",4.26,"247,421",4.26,A950180,"247,421","677,974",27.81,Jul-20,26.34,Jul-20,"86,000",Jul-20,"102,069",Jul-19,"67,916",Jul-18
